Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT
1949,1,29.4,12.3,0,68,0.453703704,0.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4
1949,2,33.9,15.2,9,63,0.659259259,0.9,8.314893617,41950,536809.8,510151.9,22.7,90.36,4
1949,3,36.7,20.2,8,59,1.085185185,1.5,8.131914894,41950,536809.8,510151.9,22.7,90.36,4
1949,4,33.9,23.9,140,71,1.772222222,3.9,8.219148936,41950,536809.8,510151.9,22.7,90.36,4
1949,5,35.6,25,217,76,1.703703704,4.1,7.046808511,41950,536809.8,510151.9,22.7,90.36,4
1949,6,34.4,25.7,512,80,1.631481481,5.6,4.072340426,41950,536809.8,510151.9,22.7,90.36,4
1949,7,33.4,25.8,575,85,1.57037037,5.4,3.738297872,41950,536809.8,510151.9,22.7,90.36,4
1949,8,33.5,25.7,349,86,1.32962963,5.6,4.272340426,41950,536809.8,510151.9,22.7,90.36,4
